"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";
"C2";"0.1uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";
"C4";"10uF";"CPOL-USA/3216-18R";"A/3216-18R";"POLARIZED CAPACITOR, American symbol";"";
"CN1";"+5v";"JST_2PIN-THM-RA";"JST-PH-2-THM-RA";"JST 2-Pin Connectors of various flavors";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";
"JP1";"";"PINHD-1X3";"1X03";"PIN HEADER";"";
"JP2";"M01PTH";"M01PTH";"1X01";"Header 1";"";
"JP3";"M01PTH";"M01PTH";"1X01";"Header 1";"";
"JP4";"";"PINHD-1X12";"1X12";"PIN HEADER";"";
"JP5";"";"PINHD-1X12";"1X12";"PIN HEADER";"";
"JP6";"PIN_3X8";"PIN_3X8";"PIN_3X8";"";"";
"JP7";"PIN_3X7";"PIN_3X7";"PIN_3X7";"";"";
"JP8";"";"PINHD-2X2";"2X02";"PIN HEADER";"";
"R1";"4k7";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R2";"4k7";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R3";"4k7";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R4";"10k";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R5";"10k";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"R6";"10k";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";
"SJ1";"";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
"SJ2";"";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
"SJ3";"";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
"U1";"RFM69W";"RFM69W";"RFM69W";"Radio Transceiver Module, FSK, 433, 848, 915 MHz, SPI controlled, Mfr=HopeRF";"";
"U2";"MCP1701";"MCP1701";"SOT-89";"Voltage Regulator, LDO, fixed 1.8,2.5,3.0,3.3,5.0V, 500mW/Vdrop";"";
